Date : 2025-08-02 17:59:27
Directory : c:\Users\dell\OneDrive\Documents\vape\site-vape-v2
Total : 135 files,  30395 codes, 838 comments, 1817 blanks, all 33050 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\Stores.tsx                       | TypeScript JSX     |        249 |          7 |          9 |        265 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\AdminReg.tsx               | TypeScript JSX     |         66 |          0 |          6 |         72 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Dashboard.tsx              | TypeScript JSX     |        111 |          5 |         13 |        129 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Liquids.tsx                | TypeScript JSX     |        544 |         24 |         24 |        592 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Login.tsx                  | TypeScript JSX     |        145 |          0 |         10 |        155 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Orders.tsx                 | TypeScript JSX     |        273 |          3 |         14 |        290 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Products.tsx               | TypeScript JSX     |        492 |          7 |         22 |        521 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Settings.tsx               | TypeScript JSX     |        260 |          5 |         20 |        285 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Stores.tsx                 | TypeScript JSX     |        266 |          2 |         15 |        283 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Translations.tsx           | TypeScript JSX     |        312 |          3 |         18 |        333 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\admin\Users.tsx                  | TypeScript JSX     |        199 |          2 |         11 |        212 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Accessories.tsx         | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Atomisers.tsx           | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Batteries.tsx           | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Coils.tsx               | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Cotton.tsx              | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\ProductDetail.tsx       | TypeScript JSX     |        101 |          3 |          6 |        110 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Pyrex.tsx               | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\Resistors.tsx           | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\VapeBoxes.tsx           | TypeScript JSX     |        121 |          0 |          9 |        130 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\pages\products\VapeKits.tsx            | TypeScript JSX     |        128 |          0 |         10 |        138 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\routes\index.tsx                       | TypeScript JSX     |         81 |          0 |          2 |         83 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\services\ratings.ts                    | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\services\translationService.ts         | TypeScript         |        159 |         25 |         35 |        219 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\styles\mobile.css                      | PostCSS            |         53 |          6 |         12 |         71 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\types\index.ts                         | TypeScript         |        110 |          2 |          8 |        120 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\utils\currency.ts                      | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\utils\performance.ts                   | TypeScript         |        254 |         28 |         47 |        329 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\vite-env.d.ts                          | TypeScript         |          0 |          1 |          1 |          2 |
